DateTime,State,Fuel Type,Supply
18/02/2023 0:00,QLD,Liquid Fuel,0
18/02/2023 0:00,QLD,Solar,107221.725
18/02/2023 0:00,QLD,Wind,52511.428
18/02/2023 0:00,SA,Battery,1392.181
18/02/2023 0:00,SA,Gas,61627.131
18/02/2023 0:00,SA,Liquid Fuel,1718.334
18/02/2023 0:00,SA,Solar,23933.476
18/02/2023 0:00,SA,Wind,157753.617
18/02/2023 0:00,TAS,Gas,479.251
18/02/2023 0:00,TAS,Hydro,101743.521
18/02/2023 0:00,TAS,Wind,42424.732
18/02/2023 0:00,VIC,Battery,1475.29
18/02/2023 0:00,VIC,Brown coal,621667.421
18/02/2023 0:00,VIC,Gas,14497.18
18/02/2023 0:00,VIC,Hydro,42357.115
18/02/2023 0:00,VIC,Solar,44125.919
18/02/2023 0:00,VIC,Wind,216487.517
25/02/2023 0:00,NSW,Battery,155.496
25/02/2023 0:00,NSW,Black coal,746142.969
25/02/2023 0:00,NSW,Gas,130.611
25/02/2023 0:00,NSW,Hydro,55350.381
25/02/2023 0:00,NSW,Liquid Fuel,2.3
25/02/2023 0:00,NSW,Solar,149381.582
25/02/2023 0:00,NSW,Wind,107961.481
25/02/2023 0:00,QLD,Battery,692.988
25/02/2023 0:00,QLD,Biomass,1219.317
25/02/2023 0:00,QLD,Black coal,914634.96
25/02/2023 0:00,QLD,Gas,98563.821
25/02/2023 0:00,QLD,Hydro,29109.311
25/02/2023 0:00,QLD,Liquid Fuel,0
25/02/2023 0:00,QLD,Solar,106876.135
25/02/2023 0:00,QLD,Wind,36181.757
25/02/2023 0:00,SA,Battery,1123.488
25/02/2023 0:00,SA,Gas,52623.82
25/02/2023 0:00,SA,Liquid Fuel,2.675
25/02/2023 0:00,SA,Solar,24171.374
25/02/2023 0:00,SA,Wind,102201.985
25/02/2023 0:00,TAS,Gas,881.464
25/02/2023 0:00,TAS,Hydro,102410.536
25/02/2023 0:00,TAS,Wind,28323.611
25/02/2023 0:00,VIC,Battery,1469.231
25/02/2023 0:00,VIC,Brown coal,609527.098
25/02/2023 0:00,VIC,Gas,3486.641
25/02/2023 0:00,VIC,Hydro,43358.652
25/02/2023 0:00,VIC,Solar,41157.259
25/02/2023 0:00,VIC,Wind,163113.669
4/03/2023 0:00,NSW,Battery,303.723
4/03/2023 0:00,NSW,Black coal,705884.559
4/03/2023 0:00,NSW,Gas,55428.87
4/03/2023 0:00,NSW,Hydro,62837.104
4/03/2023 0:00,NSW,Liquid Fuel,12.167
4/03/2023 0:00,NSW,Solar,138703.634
4/03/2023 0:00,NSW,Wind,125471.278
4/03/2023 0:00,QLD,Battery,313.238
4/03/2023 0:00,QLD,Biomass,0
4/03/2023 0:00,QLD,Black coal,964398.023
4/03/2023 0:00,QLD,Gas,106868.189
4/03/2023 0:00,QLD,Hydro,30172.385
4/03/2023 0:00,QLD,Liquid Fuel,0
4/03/2023 0:00,QLD,Solar,83368.377
4/03/2023 0:00,QLD,Wind,30434.335
4/03/2023 0:00,SA,Battery,1152.332
4/03/2023 0:00,SA,Gas,44449.527
4/03/2023 0:00,SA,Liquid Fuel,36.97
4/03/2023 0:00,SA,Solar,17898.938
4/03/2023 0:00,SA,Wind,128596.255
4/03/2023 0:00,TAS,Gas,866.351
4/03/2023 0:00,TAS,Hydro,108464.055
4/03/2023 0:00,TAS,Wind,58573.945
4/03/2023 0:00,VIC,Battery,1385.513
4/03/2023 0:00,VIC,Brown coal,560944.369
4/03/2023 0:00,VIC,Gas,2415.446
4/03/2023 0:00,VIC,Hydro,36963.157
4/03/2023 0:00,VIC,Solar,30380.999
4/03/2023 0:00,VIC,Wind,222505.208
11/03/2023 0:00,NSW,Battery,515.348
11/03/2023 0:00,NSW,Black coal,730820.874
11/03/2023 0:00,NSW,Gas,70791.243
11/03/2023 0:00,NSW,Hydro,92122.848
11/03/2023 0:00,NSW,Liquid Fuel,65.2
11/03/2023 0:00,NSW,Solar,129637.296
11/03/2023 0:00,NSW,Wind,104711.837
11/03/2023 0:00,QLD,Battery,836.696
11/03/2023 0:00,QLD,Biomass,0
11/03/2023 0:00,QLD,Black coal,932546.11
11/03/2023 0:00,QLD,Gas,131275.152
11/03/2023 0:00,QLD,Hydro,29505.24
11/03/2023 0:00,QLD,Liquid Fuel,1745.818
11/03/2023 0:00,QLD,Solar,108928.045
11/03/2023 0:00,QLD,Wind,21425.557
11/03/2023 0:00,SA,Battery,1603.568
11/03/2023 0:00,SA,Gas,54335.555
11/03/2023 0:00,SA,Liquid Fuel,108.256
11/03/2023 0:00,SA,Solar,19901.534
11/03/2023 0:00,SA,Wind,85179.981
